,name,provider,domain,base_uri,download_url,syntax,added_when,last_modified,imports
10,Transmodel Commons,Snap,Mobility,https://w3id.org/transmodel/commons,https://oeg-upm.github.io/snap-docs/tm-commons.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/commons', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
11,Transmodel Fares,Snap,Mobility,https://w3id.org/transmodel/fares,https://oeg-upm.github.io/snap-docs/tm-fares.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/fares', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
12,Transmodel Journeys,Snap,Mobility,https://w3id.org/transmodel/journeys,https://oeg-upm.github.io/snap-docs/tm-journeys.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/journeys', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
13,Transmodel Organisations,Snap,Mobility,http://www.w3.org/ns/org,https://oeg-upm.github.io/snap-docs/tm-organisations.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/ns/org', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
14,Transmodel Facilities,Snap,Mobility,https://w3id.org/transmodel/facilities,https://oeg-upm.github.io/snap-docs/tm-facilities.owl/documentation/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['https://w3id.org/transmodel/facilities', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
15,Foaf,Xmlns,Cross-Domain,http://xmlns.com/foaf/0.1,http://xmlns.com/foaf/spec/index.rdf,RDF/XML,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2003/06/sw-vocab-status/ns', 'http://xmlns.com/foaf/0.1', 'http://xmlns.com/wot/0.1', 'http://purl.org/dc/elements/1.1']"
16,Vann,Ian Davis,Data,http://purl.org/vocab/vann,https://vocab.org/vann/vann-vocab-20100607.rdf,RDF/XML,2024-08-13,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://purl.org/vocab/bio/0.1', 'http://purl.org/dc/terms', 'http://purl.org/vocab/vann', 'http://purl.org/dc/terms', 'http://web.resource.org/cc', 'http://xmlns.com/foaf/0.1']"
17,Vehicle,University Of Toronto,Transport,http://ontology.eil.utoronto.ca/icity/Vehicle,https://enterpriseintegrationlab.github.io/icity/Vehicle/Vehicle_1.2/doc/ontology.ttl,Turtle,2024-08-13,2024-08-15 19:52:10,"['http://ontology.eil.utoronto.ca/icity/Vehicle', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
18,Geosparql,Open Gis,Cross-Domain,http://www.opengis.net/ont/geosparql,http://www.opengis.net/ont/geosparql,Turtle,2024-08-13,2024-08-15 19:52:10,[]
19,Schema.Org,Schema.Org,Cross-Domain,https://schema.org,https://schema.org/,RDF/XML,2024-08-13,2024-08-15 19:52:10,
20,Data Quality,W3C,Data,http://www.w3.org/ns/dqv,https://raw.githubusercontent.com/w3c/dwbp/gh-pages/dqv.ttl,Turtle,2024-08-14,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://purl.org/dc/terms', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/vocab/vann', 'http://xmlns.com/foaf/0.1', 'http://www.w3.org/2000/01/rdf-schema', 'http://purl.org/linked-data/cube', 'http://purl.org/eis/vocab/daq', 'http://purl.org/vocommons/voaf', 'http://www.w3.org/ns/oa', 'http://www.w3.org/ns/duv', 'http://www.w3.org/2004/02/skos/core', 'http://www.w3.org/ns/dqv']"
21,Trip,University Of Toronto,Tourism,http://ontology.eil.utoronto.ca/icity/Trip,https://enterpriseintegrationlab.github.io/icity/Trip/doc/ontology.ttl,Turtle,2024-08-14,2024-08-15 19:52:10,"['http://ontology.eil.utoronto.ca/icity/Trip', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/XML/1998/namespace', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2000/01/rdf-schema']"
22,Organization,W3C,Cross-Domain,http://www.w3.org/ns/org,https://www.w3.org/ns/org.ttl,Turtle,2024-08-15,2024-08-15 19:52:10,"['http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/2002/07/owl', 'http://www.w3.org/2001/XMLSchema', 'http://www.w3.org/2004/02/skos/core', 'http://xmlns.com/foaf/0.1', 'http://purl.org/dc/terms', 'http://purl.org/goodrelations/v1', 'http://www.w3.org/2006/time', 'http://www.w3.org/ns/org', 'http://www.w3.org/2006/vcard/ns', 'http://www.w3.org/ns/prov', 'http://www.w3.org/ns/org']"
23,Opening Hours,Pieter Colpaert,Cross-Domain,http://semweb.mmlab.be/ns/oh,https://raw.githubusercontent.com/pietercolpaert/openinghoursontology/master/oh.ttl,Turtle,2024-08-15,2024-08-15 19:52:10,"['http://www.w3.org/2000/01/rdf-schema', 'http://www.w3.org/1999/02/22-rdf-syntax-ns', 'http://www.w3.org/2002/07/owl', 'http://xmlns.com/foaf/0.1', 'http://semweb.mmlab.be/ns/oh', 'http://purl.org/dc/terms', 'http://www.w3.org/2001/XMLSchema', 'http://purl.org/vocommons/voaf', 'http://purl.org/vocab/vann']"
24,Atm Ontology Core,Nasa,Transport,https://data.nasa.gov/ontologies/atmontoCore,https://data.nasa.gov/ontologies/atmonto/atmontoCore.ttl,Turtle,2024-08-15,never,
